magnitude,latitude,longitude,depth,Referencia de localizacion,date_utc,time_utc
4.1,16.4542,-95.0785,46.6,"7 km al NOROESTE de JUCHITAN DE ZARAGOZA, OAX",2018-08-17,1:32:24
4.1,14.6663,-94.2282,20.3,"157 km al SUROESTE de PIJIJIAPAN, CHIS",2018-08-17,6:14:11
4,15.1988,-96.8163,16,"71 km al SUROESTE de S PEDRO POCHUTLA, OAX",2018-08-17,6:46:17
4,16.5955,-93.847,154.6,"17 km al SUROESTE de CINTALAPA, CHIS",2018-08-17,8:42:11
4,16.7112,-94.9785,25.9,"19 km al SURESTE de MATIAS ROMERO, OAX",2018-08-17,13:32:59
4,17.2957,-94.7225,139.9,"58 km al NORESTE de MATIAS ROMERO, OAX",2018-08-17,17:01:34
4.1,15.9947,-94.3627,66.9,"56 km al SUROESTE de ARRIAGA , CHIS",2018-08-17,18:24:33
4,17.1673,-94.83,122.9,"40 km al NORESTE de MATIAS ROMERO, OAX",2018-08-17,21:39:05
4,16.911,-94.1433,145.5,"51 km al NOROESTE de CINTALAPA, CHIS",2018-08-18,5:10:43
4,16.6338,-94.2698,116.5,"59 km al OESTE de CINTALAPA, CHIS",2018-08-18,9:02:30
4,15.4435,-94.8603,13.3,"89 km al SURESTE de SALINA CRUZ, OAX",2018-08-18,9:06:11
4,15.533,-94.9385,25.1,"77 km al SURESTE de SALINA CRUZ, OAX",2018-08-18,9:42:53
4,15.6478,-95.0767,17.5,"60 km al SUR de SALINA CRUZ, OAX",2018-08-18,10:30:10
4.1,15.4467,-94.8047,18.4,"91 km al SURESTE de SALINA CRUZ, OAX",2018-08-18,21:53:01
4.1,15.2038,-93.1978,91.7,"42 km al SUROESTE de MAPASTEPEC, CHIS",2018-08-18,23:47:52
4.5,15.5233,-93.674,78.6,"53 km al SUROESTE de PIJIJIAPAN, CHIS",2018-08-19,2:42:57
4.1,15.0325,-94.286,16.2,"130 km al SUROESTE de TONALA, CHIS",2018-08-19,8:08:27
4.1,18.0707,-103.358,6,"81 km al SUR de COALCOMAN, MICH",2018-08-19,15:01:12
4.4,16.2965,-95.3267,11.7,"10 km al SUROESTE de TEHUANTEPEC, OAX",2018-08-20,3:46:15
4,16.7015,-94.9125,26.5,"23 km al SURESTE de MATIAS ROMERO, OAX",2018-08-20,22:45:52
4.2,21.3827,-94.8852,25,"251 km al NORESTE de GUTIERREZ ZAMORA, VER",2018-08-20,22:50:22
4.1,15.5022,-94.724,16.1,"91 km al SURESTE de SALINA CRUZ, OAX",2018-08-21,1:13:20
4.1,15.6267,-94.9103,16.1,"69 km al SURESTE de SALINA CRUZ, OAX",2018-08-21,5:23:28
4,15.5858,-94.9547,16.4,"71 km al SURESTE de SALINA CRUZ, OAX",2018-08-21,8:23:26
4,15.6025,-95.2983,14.1,"65 km al SUR de SALINA CRUZ, OAX",2018-08-21,10:44:45
4,15.125,-94.1512,10.2,"114 km al SUROESTE de TONALA, CHIS",2018-08-21,13:14:59
4.2,15.431,-94.7315,17,"97 km al SURESTE de SALINA CRUZ, OAX",2018-08-22,1:13:26
4.1,17.6042,-94.7355,138.2,"39 km al SURESTE de SAYULA DE ALEMAN, VER",2018-08-22,1:50:23
4,15.4068,-94.9757,16.1,"89 km al SURESTE de SALINA CRUZ, OAX",2018-08-22,4:20:44
4,16.2358,-95.2485,54.8,"8 km al NOROESTE de SALINA CRUZ, OAX",2018-08-22,9:43:45
4,15.9997,-95.2458,30,"21 km al SUR de SALINA CRUZ, OAX",2018-08-22,11:22:56
4,16.0042,-95.2615,44,"21 km al SUROESTE de SALINA CRUZ, OAX",2018-08-22,11:38:55
4.1,16.1772,-98.0942,5,"19 km al SUR de PINOTEPA NACIONAL, OAX",2018-08-22,14:15:01
4,16.191,-98.0168,4.6,"17 km al SUR de PINOTEPA NACIONAL, OAX",2018-08-22,14:54:38
5.3,16.5337,-98.7447,8.1,"40 km al SUROESTE de OMETEPEC, GRO",2018-08-22,18:03:08
4.3,14.8878,-93.526,17.1,"92 km al SUROESTE de MAPASTEPEC, CHIS",2018-08-22,21:28:49
4,15.6347,-94.854,16,"71 km al SURESTE de SALINA CRUZ, OAX",2018-08-22,22:16:00
4.2,15.2352,-94.5938,19.1,"123 km al SURESTE de SALINA CRUZ, OAX",2018-08-22,22:35:56
4,17.0253,-95.6047,13.6,"62 km al NOROESTE de MATIAS ROMERO, OAX",2018-08-23,4:17:38
4.1,16.6977,-94.9402,30.7,"22 km al SURESTE de MATIAS ROMERO, OAX",2018-08-23,4:47:32
4,15.5352,-95.0405,19,"73 km al SUR de SALINA CRUZ, OAX",2018-08-23,5:23:01
4,15.1795,-94.2427,28.7,"113 km al SUROESTE de TONALA, CHIS",2018-08-23,8:07:18
4,16.9602,-95.0398,114.6,"10 km al NORTE de MATIAS ROMERO, OAX",2018-08-23,10:49:47
4.3,14.839,-92.7818,79,"47 km al SUROESTE de HUIXTLA, CHIS",2018-08-23,12:22:25
4.1,18.0618,-104.434,15.5,"108 km al SUROESTE de CD DE ARMERIA, COL",2018-08-23,13:30:25
4.1,15.5842,-94.9495,16,"71 km al SURESTE de SALINA CRUZ, OAX",2018-08-23,16:32:50
4.3,15.4263,-94.7878,16.3,"94 km al SURESTE de SALINA CRUZ, OAX",2018-08-24,4:39:08
4.1,15.4393,-94.974,24.1,"86 km al SURESTE de SALINA CRUZ, OAX",2018-08-24,5:44:50
4,16.6972,-94.0368,135.1,"34 km al OESTE de CINTALAPA, CHIS",2018-08-24,13:11:07
4.1,17.576,-94.6835,146,"43 km al SUR de JALTIPAN DE MORELOS, VER",2018-08-24,15:52:57
4,26.0568,-110.41,10,"93 km al ESTE de LORETO, BCS",2018-08-24,16:03:32
4.3,18.2653,-103.116,58.2,"57 km al SUR de COALCOMAN, MICH",2018-08-24,20:20:56
4,17.4852,-94.8463,142.9,"45 km al SURESTE de SAYULA DE ALEMAN, VER",2018-08-24,20:57:19
4.1,16.1613,-98.3508,10,"38 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-08-24,21:32:18
4.5,16.175,-98.3455,27.1,"36 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-08-24,23:57:39
4,14.3668,-93.8322,13.6,"156 km al SUROESTE de MAPASTEPEC, CHIS",2018-08-25,1:54:41
4.1,15.3862,-94.773,18,"99 km al SURESTE de SALINA CRUZ, OAX",2018-08-25,7:57:00
4,15.7782,-95.1837,44.8,"45 km al SUR de SALINA CRUZ, OAX",2018-08-25,9:31:45
4,16.0267,-95.3315,81.7,"23 km al SUROESTE de SALINA CRUZ, OAX",2018-08-25,12:36:50
4,17.276,-94.6922,136.6,"58 km al NORESTE de MATIAS ROMERO, OAX",2018-08-25,14:14:47
4.1,15.5343,-94.9323,24.7,"77 km al SURESTE de SALINA CRUZ, OAX",2018-08-25,19:02:17
4.1,15.4413,-94.9625,16.1,"86 km al SURESTE de SALINA CRUZ, OAX",2018-08-25,20:56:35
4.5,16.4542,-95.1827,29.4,"15 km al NORESTE de S BLAS ATEMPA, OAX",2018-08-25,23:39:58
4.2,18.4362,-101.382,25.3,"55 km al SUROESTE de HUETAMO, MICH",2018-08-26,0:36:04
4.3,15.1122,-94.5705,22,"136 km al SURESTE de SALINA CRUZ, OAX",2018-08-26,0:50:24
4.1,14.9027,-93.0027,70.9,"61 km al SUR de MAPASTEPEC, CHIS",2018-08-26,0:56:20
4,15.2847,-94.679,16.1,"114 km al SURESTE de SALINA CRUZ, OAX",2018-08-26,6:22:53
4,15.9715,-95.091,15,"26 km al SURESTE de SALINA CRUZ, OAX",2018-08-26,6:29:24
4.2,14.9617,-94.2293,16,"134 km al SUROESTE de TONALA, CHIS",2018-08-26,6:50:28
4,16.1883,-98.9833,7.5,"80 km al SURESTE de SAN MARCOS, GRO",2018-08-26,15:08:07
4.2,27.8602,-111.871,10,"70 km al NORESTE de SANTA ROSALIA, BCS",2018-08-26,18:18:53
4.2,27.7482,-112.849,10,"73 km al NOROESTE de SANTA ROSALIA, BCS",2018-08-26,18:32:36
4,14.9897,-94.2947,16.1,"134 km al SUROESTE de TONALA, CHIS",2018-08-26,20:14:22
4,15.6183,-95.062,17.2,"64 km al SUR de SALINA CRUZ, OAX",2018-08-26,20:38:00
4,16.917,-94.4737,116.4,"61 km al ESTE de MATIAS ROMERO, OAX",2018-08-26,23:33:05
4,16.3155,-95.1275,28.6,"11 km al ESTE de S BLAS ATEMPA, OAX",2018-08-27,3:36:57
4.3,15.1818,-94.6252,20.1,"126 km al SURESTE de SALINA CRUZ, OAX",2018-08-27,6:27:10
4.1,17.295,-100.434,42.2,"10 km al NORTE de ATOYAC DE ALVAREZ, GRO",2018-08-27,16:57:17
4.2,16.115,-95.8238,55.1,"51 km al NORESTE de CRUCECITA, OAX",2018-08-27,21:50:00
4.2,16.309,-98.2538,13.2,"22 km al OESTE de PINOTEPA NACIONAL, OAX",2018-08-28,5:39:58
4,14.993,-93.1695,66.7,"58 km al SUROESTE de MAPASTEPEC, CHIS",2018-08-28,6:11:35
4.3,16.6135,-95.3767,73.6,"30 km al OESTE de CD IXTEPEC, OAX",2018-08-28,8:12:57
4.2,16.2993,-95.1045,52.2,"13 km al ESTE de S BLAS ATEMPA, OAX",2018-08-28,11:54:13
4.3,14.267,-93.0245,15,"104 km al SUROESTE de CD HIDALGO, CHIS",2018-08-28,12:16:06
4,16.0217,-95.1903,35,"18 km al SUR de SALINA CRUZ, OAX",2018-08-28,16:40:01
4.4,17.0758,-94.6917,131.3,"44 km al NORESTE de MATIAS ROMERO, OAX",2018-08-28,17:01:27
4,16.0148,-95.1565,28.2,"19 km al SUR de SALINA CRUZ, OAX",2018-08-28,17:10:10
4,16.487,-93.7637,149.9,"23 km al SUR de CINTALAPA, CHIS",2018-08-28,23:05:59
4.1,15.6818,-93.9635,70.7,"50 km al SUROESTE de TONALA, CHIS",2018-08-29,1:26:46
4.1,15.9138,-98.2132,4.2,"50 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-08-29,2:56:51
4,15.0262,-94.2257,3.4,"128 km al SUROESTE de TONALA, CHIS",2018-08-29,12:04:55
4.1,16.3765,-94.4707,96,"40 km al SURESTE de UNION HIDALGO, OAX",2018-08-29,13:27:22
4.5,15.3995,-94.6347,17.8,"105 km al SURESTE de SALINA CRUZ, OAX",2018-08-29,15:55:29
4,14.3102,-93.839,15,"161 km al SUROESTE de MAPASTEPEC, CHIS",2018-08-29,18:34:30
4,17.2567,-94.6995,142.6,"56 km al NORESTE de MATIAS ROMERO, OAX",2018-08-29,19:40:57
4,16.5037,-95.2633,86.9,"19 km al SUROESTE de CD IXTEPEC, OAX",2018-08-29,23:37:36
4.1,15.9118,-96.6675,55.5,"28 km al NOROESTE de S PEDRO POCHUTLA, OAX",2018-08-30,0:00:37
4,14.4382,-92.8335,22.2,"78 km al SUROESTE de CD HIDALGO, CHIS",2018-08-30,1:22:55
4,15.491,-98.4732,11.6,"104 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-08-30,3:08:16
4,16.2068,-94.6305,86.2,"36 km al SURESTE de UNION HIDALGO, OAX",2018-08-30,6:21:47
4,16.244,-98.5585,10,"51 km al SUROESTE de OMETEPEC, GRO",2018-08-30,10:44:36
4,15.2878,-94.8215,16.3,"107 km al SURESTE de SALINA CRUZ, OAX",2018-08-30,12:05:40
4.1,25.8227,-110.071,5.4,"91 km al OESTE de AHOME, SIN",2018-08-30,12:06:28
4,16.3035,-98.2352,13.5,"20 km al OESTE de PINOTEPA NACIONAL, OAX",2018-08-30,15:20:05
4.2,15.2777,-92.5648,107.8,"19 km al NOROESTE de HUIXTLA, CHIS",2018-08-30,18:30:01
4,15.2115,-94.3767,34.2,"117 km al SUROESTE de TONALA, CHIS",2018-08-30,18:50:01
4.2,18.0225,-101.138,67.2,"56 km al NORESTE de PETATLAN, GRO",2018-08-30,20:52:02
4,14.9768,-93.8378,17.3,"103 km al SUROESTE de PIJIJIAPAN, CHIS",2018-08-31,7:18:39
4.1,15.4865,-94.5903,25.2,"101 km al SURESTE de SALINA CRUZ, OAX",2018-08-31,18:49:21
4,15.5147,-94.6308,26.6,"95 km al SURESTE de SALINA CRUZ, OAX",2018-08-31,22:07:35
4,15.0388,-94.4385,22.6,"137 km al SUROESTE de TONALA, CHIS",2018-08-31,23:14:26
4.1,17.56,-94.4498,179,"49 km al SUR de MINATITLAN, VER",2018-08-31,23:27:30
4,15.1262,-94.4063,20,"127 km al SUROESTE de TONALA, CHIS",2018-09-01,0:26:48
4,15.6133,-94.989,40.7,"67 km al SURESTE de SALINA CRUZ, OAX",2018-09-01,11:00:39
4,17.3222,-94.6878,137.3,"62 km al NORESTE de MATIAS ROMERO, OAX",2018-09-01,12:13:48
4.3,32.42,-115.192,15,"17 km al NOROESTE de GPE VICTORIA(KM.43), BC",2018-09-01,12:19:59
4,15.7732,-95.0133,34.6,"49 km al SURESTE de SALINA CRUZ, OAX",2018-09-01,14:37:14
4,18.0455,-102.952,10,"66 km al OESTE de LA MIRA, MICH",2018-09-01,18:17:58
4.1,14.9923,-94.2485,16.9,"132 km al SUROESTE de TONALA, CHIS",2018-09-01,22:37:09
4.3,15.2123,-94.463,18.7,"123 km al SUROESTE de TONALA, CHIS",2018-09-02,2:47:58
4,16.2837,-98.089,11.1,"8 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-09-02,9:37:08
4.1,17.0462,-99.7928,49.7,"22 km al NORESTE de ACAPULCO, GRO",2018-09-02,12:04:44
4.1,16.0018,-95.195,51.7,"20 km al SUR de SALINA CRUZ, OAX",2018-09-02,12:37:09
4,16.6723,-94.9118,29.4,"23 km al NORESTE de CD IXTEPEC, OAX",2018-09-02,14:45:13
4.1,16.5038,-98.4237,30.2,"20 km al SUR de OMETEPEC, GRO",2018-09-02,18:57:31
4.8,16.4027,-95.0808,93.3,"7 km al SUROESTE de JUCHITAN DE ZARAGOZA, OAX",2018-09-02,21:35:34
4,15.5573,-94.6877,17.5,"88 km al SURESTE de SALINA CRUZ, OAX",2018-09-03,0:36:42
4,16.2758,-98.1293,12,"11 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-09-03,2:59:09
4,16.6998,-99.7282,17.1,"26 km al SURESTE de ACAPULCO, GRO",2018-09-03,5:05:46
4,15.7453,-95.8107,41.2,"35 km al ESTE de CRUCECITA, OAX",2018-09-03,5:36:04
4,16.255,-94.943,68.7,"21 km al SURESTE de JUCHITAN DE ZARAGOZA, OAX",2018-09-03,7:13:06
4,15.474,-95.7515,16.1,"52 km al SURESTE de CRUCECITA, OAX",2018-09-03,7:51:10
4,15.0143,-94.197,15,"128 km al SUROESTE de TONALA, CHIS",2018-09-03,9:56:15
4,15.8737,-95.0672,17.2,"37 km al SURESTE de SALINA CRUZ, OAX",2018-09-03,10:09:43
4,24.7827,-109.222,16.2,"114 km al SUROESTE de ADOLFO RUIZ CORTINES, SIN",2018-09-03,14:45:48
4,16.2817,-98.0983,12.5,"8 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-09-03,15:27:26
4,16.5575,-98.475,7,"16 km al SUROESTE de OMETEPEC, GRO",2018-09-03,16:05:53
4.1,18.0952,-103.382,10,"79 km al SUROESTE de COALCOMAN, MICH",2018-09-03,16:37:35
4.1,18.1133,-103.399,10,"78 km al SUROESTE de COALCOMAN, MICH",2018-09-03,21:41:40
4.2,14.5607,-92.6107,61.8,"51 km al OESTE de CD HIDALGO, CHIS",2018-09-03,22:24:55
4,17.4345,-95.5332,101.4,"63 km al SUR de J RODRIGUEZ CLARA, VER",2018-09-04,3:47:41
4.2,16.183,-93.9395,111.4,"7 km al SUROESTE de ARRIAGA , CHIS",2018-09-04,4:22:09
4,16.7748,-94.889,47,"20 km al SURESTE de MATIAS ROMERO, OAX",2018-09-04,5:09:00
4.1,16.625,-95.2107,86,"14 km al NOROESTE de CD IXTEPEC, OAX",2018-09-04,5:52:34
4,17.5567,-94.7222,149.5,"44 km al SURESTE de SAYULA DE ALEMAN, VER",2018-09-04,10:09:07
4,16.0698,-97.5687,9.8,"16 km al NOROESTE de RIO GRANDE, OAX",2018-09-04,23:27:44
4,16.177,-94.7397,72.9,"34 km al SURESTE de UNION HIDALGO, OAX",2018-09-04,23:54:51
4,16.3212,-98.4348,1.4,"40 km al SUR de OMETEPEC, GRO",2018-09-05,0:00:00
4,16.06,-94.9112,85.9,"33 km al SURESTE de SALINA CRUZ, OAX",2018-09-05,0:29:40
4,14.7065,-93.1907,13.6,"87 km al SUROESTE de MAPASTEPEC, CHIS",2018-09-05,0:44:41
4.1,17.3355,-95.0972,121.6,"52 km al NORTE de MATIAS ROMERO, OAX",2018-09-05,4:59:50
4.1,15.3717,-94.6545,16,"107 km al SURESTE de SALINA CRUZ, OAX",2018-09-05,16:19:00
4,17.1718,-94.9192,133.1,"36 km al NORESTE de MATIAS ROMERO, OAX",2018-09-05,22:34:05
4.2,15.272,-94.8135,16.1,"109 km al SURESTE de SALINA CRUZ, OAX",2018-09-05,23:18:55
4,17.6165,-94.661,163.1,"39 km al SUR de JALTIPAN DE MORELOS, VER",2018-09-06,2:11:09
4,16.284,-98.1212,12.1,"10 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-09-06,3:57:07
4.2,15.9103,-95.2392,52.9,"30 km al SUR de SALINA CRUZ, OAX",2018-09-06,4:20:07
4,15.6548,-93.9723,68.1,"53 km al SUROESTE de TONALA, CHIS",2018-09-06,5:54:09
4,17.6905,-101.079,59.8,"27 km al NORESTE de PETATLAN, GRO",2018-09-06,6:09:09
4.5,15.7087,-93.965,63.5,"47 km al SUROESTE de TONALA, CHIS",2018-09-06,8:11:59
4.5,15.6377,-96.0705,13.1,"16 km al SURESTE de CRUCECITA, OAX",2018-09-06,9:03:46
4,17.4725,-97.3687,67.3,"40 km al NORESTE de H TLAXIACO, OAX",2018-09-06,9:17:08
4.1,16.2708,-98.0427,8.6,"8 km al SUR de PINOTEPA NACIONAL, OAX",2018-09-06,10:17:00
4.1,16.4132,-95.2173,53.4,"10 km al NORTE de S BLAS ATEMPA, OAX",2018-09-06,10:35:23
4.1,15.2598,-92.1277,167.4,"17 km al SURESTE de MOTOZINTLA, CHIS",2018-09-07,2:32:17
4,16.3413,-94.0112,112.4,"17 km al NOROESTE de ARRIAGA , CHIS",2018-09-07,11:46:37
4.2,14.9482,-92.7633,83.4,"38 km al SUROESTE de HUIXTLA, CHIS",2018-09-07,18:48:58
4,16.373,-95.0732,20,"9 km al SUROESTE de JUCHITAN DE ZARAGOZA, OAX",2018-09-07,22:24:16
4,18.441,-101.087,62.1,"29 km al SUROESTE de HUETAMO, MICH",2018-09-08,11:48:47
4,18.8662,-107.598,16.6,"314 km al SUROESTE de PUERTO VALLARTA, JAL",2018-09-09,5:16:31
4.1,26.902,-111.322,5,"98 km al NORTE de LORETO, BCS",2018-09-09,6:26:17
4,14.8857,-93.9978,11.5,"122 km al SUROESTE de PIJIJIAPAN, CHIS",2018-09-09,6:54:33
4,16.1723,-94.5753,87.3,"43 km al SURESTE de UNION HIDALGO, OAX",2018-09-09,10:27:38
4,14.3475,-94.0217,15.2,"171 km al SUROESTE de MAPASTEPEC, CHIS",2018-09-09,11:14:28
4,17.2942,-94.9715,134.4,"47 km al NORTE de MATIAS ROMERO, OAX",2018-09-09,11:36:29
4.1,15.9052,-95.264,67,"32 km al SUR de SALINA CRUZ, OAX",2018-09-09,22:53:02
4.3,19.2107,-96.2323,17,"6 km al NOROESTE de VALENTE DIAZ, VER",2018-09-10,4:47:08
4.8,14.3953,-93.1247,7.6,"109 km al SUROESTE de HUIXTLA, CHIS",2018-09-10,12:39:16
5,15.7963,-98.4767,18.7,"75 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-09-10,17:15:47
4.1,15.0707,-94.2268,16.4,"123 km al SUROESTE de TONALA, CHIS",2018-09-10,18:59:04
4,18.0847,-100.483,53.1,"33 km al SUROESTE de ARCELIA, GRO",2018-09-10,20:35:23
4,16.0683,-97.1727,26.3,"25 km al NOROESTE de PUERTO ESCONDIDO, OAX",2018-09-10,23:26:10
4,15.3032,-94.6808,18,"112 km al SURESTE de SALINA CRUZ, OAX",2018-09-11,5:27:55
4,15.0705,-94.3952,23.2,"132 km al SUROESTE de TONALA, CHIS",2018-09-11,6:46:06
4,14.9875,-94.2537,16.1,"133 km al SUROESTE de TONALA, CHIS",2018-09-11,10:31:31
4.3,16.6753,-93.9048,145.8,"20 km al OESTE de CINTALAPA, CHIS",2018-09-11,15:30:36
4.1,17.0723,-99.7528,46.7,"27 km al NORESTE de ACAPULCO, GRO",2018-09-11,19:28:25
4.2,16.4222,-98.404,30.5,"29 km al SUR de OMETEPEC, GRO",2018-09-11,20:17:55
4.1,16.8845,-93.7908,179,"22 km al NOROESTE de CINTALAPA, CHIS",2018-09-11,22:42:41
4,13.5027,-92.9087,17.8,"154 km al SUROESTE de CD HIDALGO, CHIS",2018-09-11,22:58:40
5.1,14.6237,-94.1715,16.3,"156 km al SUROESTE de PIJIJIAPAN, CHIS",2018-09-12,2:35:26
4,18.3317,-103.114,52.4,"49 km al SUR de COALCOMAN, MICH",2018-09-12,6:01:55
4,14.6088,-94.1987,18.7,"160 km al SUROESTE de PIJIJIAPAN, CHIS",2018-09-12,9:22:40
4,15.9258,-95.2402,67.1,"29 km al SUR de SALINA CRUZ, OAX",2018-09-12,10:32:07
4,31.4692,-114.377,4.9,"66 km al NORESTE de SAN FELIPE, BC",2018-09-12,15:13:08
4,15.1155,-94.613,16.1,"133 km al SURESTE de SALINA CRUZ, OAX",2018-09-12,15:32:04
4.3,15.0198,-94.3355,16,"133 km al SUROESTE de TONALA, CHIS",2018-09-12,22:45:46
4,15.032,-94.2445,16.2,"128 km al SUROESTE de TONALA, CHIS",2018-09-12,23:21:43
4,15.3213,-94.7677,18.2,"106 km al SURESTE de SALINA CRUZ, OAX",2018-09-13,0:45:23
4.1,15.5318,-94.8967,16.1,"79 km al SURESTE de SALINA CRUZ, OAX",2018-09-13,4:52:15
4,15.074,-94.382,16,"131 km al SUROESTE de TONALA, CHIS",2018-09-13,6:01:58
4.1,17.2135,-94.4667,145.7,"72 km al NORESTE de MATIAS ROMERO, OAX",2018-09-13,7:03:01
4.3,14.5925,-92.7132,79,"60 km al SUROESTE de TAPACHULA, CHIS",2018-09-13,10:46:41
4.1,14.9867,-94.264,18.9,"133 km al SUROESTE de TONALA, CHIS",2018-09-13,14:11:35
4,15.613,-94.9758,16.1,"67 km al SURESTE de SALINA CRUZ, OAX",2018-09-13,15:05:58
4,16.2988,-95.1053,78.8,"13 km al ESTE de S BLAS ATEMPA, OAX",2018-09-13,16:43:28
4.2,13.4328,-92.49,16.1,"143 km al SUR de CD HIDALGO, CHIS",2018-09-13,17:54:46
4,15.1415,-92.5215,99,"6 km al OESTE de HUIXTLA, CHIS",2018-09-13,20:01:39
4.3,16.9192,-94.826,116.3,"24 km al ESTE de MATIAS ROMERO, OAX",2018-09-13,22:48:18
4.2,15.443,-94.7407,17.4,"95 km al SURESTE de SALINA CRUZ, OAX",2018-09-13,23:11:25
4,15.4953,-94.8362,16.5,"85 km al SURESTE de SALINA CRUZ, OAX",2018-09-14,10:29:04
4,14.8737,-94.1187,10.6,"133 km al SUROESTE de PIJIJIAPAN, CHIS",2018-09-14,17:54:10
4,15.8822,-95.2395,59.4,"34 km al SUR de SALINA CRUZ, OAX",2018-09-14,18:59:03
4.1,18.2912,-101.088,62.6,"42 km al SUROESTE de HUETAMO, MICH",2018-09-14,22:25:13
4.7,14.5212,-92.8355,22.9,"75 km al SUROESTE de TAPACHULA, CHIS",2018-09-15,0:28:35
4.2,15.5188,-93.616,80.7,"47 km al SUROESTE de PIJIJIAPAN, CHIS",2018-09-15,1:50:35
4,14.4272,-92.8273,16.2,"78 km al SUROESTE de CD HIDALGO, CHIS",2018-09-15,1:54:08
4,16.6418,-99.4367,5,"18 km al SUROESTE de SAN MARCOS, GRO",2018-09-15,2:04:03
4,14.8065,-93.8968,12.7,"122 km al SUROESTE de PIJIJIAPAN, CHIS",2018-09-15,2:22:32
4,14.912,-92.9268,77.5,"56 km al SUROESTE de HUIXTLA, CHIS",2018-09-15,3:28:23
4.3,16.4828,-95.0715,65.3,"8 km al NOROESTE de JUCHITAN DE ZARAGOZA, OAX",2018-09-15,3:56:48
4.4,16.0245,-96.5172,53.2,"31 km al NORTE de S PEDRO POCHUTLA, OAX",2018-09-15,4:17:47
4.4,16.0053,-98.8022,16,"86 km al SUROESTE de OMETEPEC, GRO",2018-09-15,5:08:09
4,16.2855,-98.0822,12.6,"7 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-09-15,9:16:53
4.1,16.4638,-95.1025,30,"9 km al NOROESTE de JUCHITAN DE ZARAGOZA, OAX",2018-09-15,9:48:41
4,15.092,-93.5525,44.1,"75 km al SUROESTE de PIJIJIAPAN, CHIS",2018-09-16,3:49:51
4.8,16.014,-98.7102,16.9,"79 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-09-16,4:30:13
4,15.6913,-94.748,27.4,"72 km al SURESTE de SALINA CRUZ, OAX",2018-09-16,5:36:56
4,15.8668,-98.6922,16.1,"86 km al SUROESTE de PINOTEPA NACIONAL, OAX",2018-09-16,11:45:39
4.1,15.4413,-94.6378,16.3,"101 km al SURESTE de SALINA CRUZ, OAX",2018-09-16,16:04:32
4,16.3843,-98.2242,19.9,"19 km al OESTE de PINOTEPA NACIONAL, OAX",2018-09-16,16:55:48
4.1,15.922,-92.7655,179.2,"51 km al SUROESTE de VENUSTIANO CARRANZA, CHIS",2018-09-16,20:31:07
4,16.6812,-94.8333,60,"23 km al NORTE de UNION HIDALGO, OAX",2018-09-16,20:34:29
4.2,16.2347,-98.0815,8.6,"12 km al SUR de PINOTEPA NACIONAL, OAX",2018-09-17,3:31:49
4.1,16.8517,-94.7487,113.5,"31 km al ESTE de MATIAS ROMERO, OAX",2018-09-17,4:12:40
4,15.7527,-94.878,16.2,"58 km al SURESTE de SALINA CRUZ, OAX",2018-09-17,16:24:06
4,16.0865,-97.5528,23.1,"15 km al NOROESTE de RIO GRANDE, OAX",2018-09-17,16:44:50
4,32.3562,-115.248,5,"16 km al NOROESTE de GPE VICTORIA(KM.43), BC",2018-09-18,0:41:24
4.2,24.6283,-109.151,10,"125 km al SUROESTE de GUASAVE, SIN",2018-09-18,9:51:49
4.2,14.7587,-93.2403,15.8,"84 km al SUROESTE de MAPASTEPEC, CHIS",2018-09-18,23:26:25
4,16.8093,-95.5232,58.6,"52 km al OESTE de MATIAS ROMERO, OAX",2018-09-19,0:31:50
4.3,14.5263,-92.4257,74.4,"34 km al SUROESTE de CD HIDALGO, CHIS",2018-09-19,2:55:02
4.1,15.415,-96.5338,16,"37 km al SUR de S PEDRO POCHUTLA, OAX",2018-09-19,4:41:43
4.1,17.0293,-100.027,48.7,"7 km al NORESTE de COYUCA DE BENITEZ, GRO",2018-09-19,9:14:46
4.3,16.6722,-99.8517,16.2,"23 km al SUR de ACAPULCO, GRO",2018-09-19,16:37:02
4,16.2348,-98.0657,8.2,"12 km al SUR de PINOTEPA NACIONAL, OAX",2018-09-19,23:23:50
4,16.2693,-94.9335,12.7,"20 km al SURESTE de JUCHITAN DE ZARAGOZA, OAX",2018-09-20,2:55:51
4.2,18.339,-101.544,61.6,"75 km al SUROESTE de HUETAMO, MICH",2018-09-20,4:01:45
5.3,14.3925,-93.9235,19,"160 km al SUROESTE de MAPASTEPEC, CHIS",2018-09-20,9:21:18
4.1,14.2997,-93.9265,20,"168 km al SUROESTE de MAPASTEPEC, CHIS",2018-09-20,9:23:13
4.5,14.4375,-93.9733,20,"161 km al SUROESTE de PIJIJIAPAN, CHIS",2018-09-20,9:57:42
